effect_bonus_value_unit_ability_junctions_tables	0
mixu_magic_ice_enable_shardstorm_upgraded	enable	mixu_spell_lore_of_ice_shardstorm
mixu_magic_ice_miscast_reduction_shardstorm_upgraded	miscast_percentage_mod	mixu_spell_lore_of_ice_shardstorm_upgraded
mixu_magic_ice_reduce_wom_cost_shardstorm_upgraded	cost_mod	mixu_spell_lore_of_ice_shardstorm_upgraded
mixu_magic_ice_reduce_wom_cost_shardstorm	cost_mod	mixu_spell_lore_of_ice_shardstorm
mixu_magic_ice_cooldown_shardstorm	recharge_mod	mixu_spell_lore_of_ice_shardstorm
mixu_magic_ice_enable_shardstorm	enable	mixu_spell_lore_of_ice_shardstorm
mixu_magic_ice_enable_invocation_of_the_ice_storm_upgraded	enable_overchage	mixu_spell_lore_of_ice_invocation_of_the_ice_storm
mixu_magic_ice_enable_invocation_of_the_ice_storm_upgraded	enable	mixu_spell_lore_of_ice_invocation_of_the_ice_storm
mixu_magic_ice_miscast_reduction_invocation_of_the_ice_storm_upgraded	miscast_percentage_mod	mixu_spell_lore_of_ice_invocation_of_the_ice_storm_upgraded
mixu_magic_ice_reduce_wom_cost_invocation_of_the_ice_storm_upgraded	cost_mod	mixu_spell_lore_of_ice_invocation_of_the_ice_storm_upgraded
mixu_magic_ice_reduce_wom_cost_invocation_of_the_ice_storm	cost_mod	mixu_spell_lore_of_ice_invocation_of_the_ice_storm
mixu_magic_ice_cooldown_invocation_of_the_ice_storm	recharge_mod	mixu_spell_lore_of_ice_invocation_of_the_ice_storm
mixu_magic_ice_enable_invocation_of_the_ice_storm	enable	mixu_spell_lore_of_ice_invocation_of_the_ice_storm
mixu_magic_ice_enable_wind_of_ice_upgraded	enable	mixu_spell_lore_of_ice_wind_of_ice
mixu_magic_ice_cooldown_all_spells	recharge_mod	mixu_spell_lore_of_ice_glacial_barrier
mixu_magic_ice_cooldown_all_spells	recharge_mod	mixu_spell_lore_of_ice_shield_of_cold
mixu_magic_ice_cooldown_all_spells	recharge_mod	mixu_spell_lore_of_ice_midwinters_kiss
mixu_magic_ice_cooldown_all_spells	recharge_mod	mixu_spell_lore_of_ice_wind_of_ice
mixu_magic_ice_cooldown_all_spells	recharge_mod	mixu_spell_lore_of_ice_shardstorm
mixu_magic_ice_cooldown_all_spells	recharge_mod	mixu_spell_lore_of_ice_invocation_of_the_ice_storm
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	mixu_spell_lore_of_ice_glacial_barrier
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	mixu_spell_lore_of_ice_shield_of_cold
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	mixu_spell_lore_of_ice_midwinters_kiss
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	mixu_spell_lore_of_ice_wind_of_ice
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	mixu_spell_lore_of_ice_shardstorm
wh2_main_effect_battle_magic_all_cooldown_rate	recharge_mod	mixu_spell_lore_of_ice_invocation_of_the_ice_storm
