character_skill_node_sets_tables	2
agent_key	campaign_key	faction_key	key	subculture	for_army	for_navy	agent_subtype_key
champion			wh2_dlc11_skill_node_set_cst_mourngul		false	false	wh2_dlc11_cst_mourngul
general			wh2_dlc11_skill_node_set_cst_noctilus		false	false	wh2_dlc11_cst_noctilus
general			wh2_dlc11_skill_node_set_def_lokhir		false	false	wh2_dlc11_def_lokhir
general			wh2_dlc11_skill_node_set_vmp_bloodline_blood_dragon_lord		false	false	wh2_dlc11_vmp_bloodline_blood_dragon
general			wh2_dlc11_skill_node_set_vmp_bloodline_lahmian_lord		false	false	wh2_dlc11_vmp_bloodline_lahmian
general			wh2_dlc11_skill_node_set_vmp_bloodline_necrarch_lord		false	false	wh2_dlc11_vmp_bloodline_necrarch
general			wh2_dlc11_skill_node_set_vmp_bloodline_strigoi_lord		false	false	wh2_dlc11_vmp_bloodline_strigoi
general			wh2_dlc11_skill_node_set_vmp_bloodline_von_carstein_lord		false	false	wh2_dlc11_vmp_bloodline_von_carstein
general			wh2_dlc12_skill_node_set_ikit_claw		false	false	wh2_dlc12_skv_ikit_claw
wizard			wh2_dlc12_skill_node_set_lzd_lord_kroak		false	false	wh2_dlc12_lzd_lord_kroak
general			wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief		false	false	wh2_dlc12_lzd_red_crested_skink_chief
general			wh2_dlc12_skill_node_set_lzd_red_crested_skink_chief_legendary		false	false	wh2_dlc12_lzd_red_crested_skink_chief_legendary
general			wh2_dlc12_skill_node_set_lzd_tehenhauin		false	false	wh2_dlc12_lzd_tehenhauin
general			wh2_dlc12_skill_node_set_lzd_tiktaqto		false	false	wh2_dlc12_lzd_tiktaqto
spy			wh2_dlc12_skill_node_set_lzd_tlaqua_skink_chief		false	false	wh2_dlc12_lzd_tlaqua_skink_chief
wizard			wh2_dlc12_skill_node_set_lzd_tlaqua_skink_priest_beasts		false	false	wh2_dlc12_lzd_tlaqua_skink_priest_beasts
wizard			wh2_dlc12_skill_node_set_lzd_tlaqua_skink_priest_heavens		false	false	wh2_dlc12_lzd_tlaqua_skink_priest_heavens
general			wh2_dlc12_skill_node_set_skv_warlock_master		false	false	wh2_dlc12_skv_warlock_master
general			wh2_dlc13_lzd_kroxigor_ancient_horde		false	false	wh2_dlc13_lzd_kroxigor_ancient_horde
general			wh2_dlc13_lzd_red_crested_skink_chief_horde		false	false	wh2_dlc13_lzd_red_crested_skink_chief_horde
general			wh2_dlc13_lzd_saurus_old_blood_horde		false	false	wh2_dlc13_lzd_saurus_old_blood_horde
general			wh2_dlc13_lzd_slann_mage_priest_fire_horde		false	false	wh2_dlc13_lzd_slann_mage_priest_fire_horde
general			wh2_dlc13_lzd_slann_mage_priest_high_horde		false	false	wh2_dlc13_lzd_slann_mage_priest_high_horde
general			wh2_dlc13_lzd_slann_mage_priest_horde		false	false	wh2_main_lzd_slann_mage_priest_horde
general			wh2_dlc13_lzd_slann_mage_priest_life_horde		false	false	wh2_dlc13_lzd_slann_mage_priest_life_horde
general			wh2_dlc13_skill_node_set_ancient_kroxigor		false	false	wh2_dlc13_lzd_kroxigor_ancient
spy			wh2_dlc13_skill_node_set_emp_hunter_doctor_hertwig_van_hal		false	false	wh2_dlc13_emp_hunter_doctor_hertwig_van_hal
engineer			wh2_dlc13_skill_node_set_emp_hunter_jorek_grimm_0		false	false	wh2_dlc13_emp_hunter_jorek_grimm
spy			wh2_dlc13_skill_node_set_emp_hunter_kalara_of_wydrioth_0		false	false	wh2_dlc13_emp_hunter_kalara_of_wydrioth
champion			wh2_dlc13_skill_node_set_emp_hunter_rodrik_l_anguille_0		false	false	wh2_dlc13_emp_hunter_rodrik_l_anguille
general			wh2_dlc13_skill_node_set_gor_rok		false	false	wh2_dlc13_lzd_gor_rok
general			wh2_dlc13_skill_node_set_huntsmarshal		false	false	wh2_dlc13_emp_cha_huntsmarshal_0
general			wh2_dlc13_skill_node_set_markus_wulfhart		false	false	wh2_dlc13_emp_cha_markus_wulfhart_0
general			wh2_dlc13_skill_node_set_nakai		false	false	wh2_dlc13_lzd_nakai
champion			wh2_dlc14_skill_node_set_brt_henri_le_massif		false	false	wh2_dlc14_brt_henri_le_massif
general			wh2_dlc14_skill_node_set_brt_repanse		false	false	wh2_dlc14_brt_repanse
general			wh2_dlc14_skill_node_set_def_high_beastmaster		false	false	wh2_dlc14_def_high_beastmaster
general			wh2_dlc14_skill_node_set_def_malus		false	false	wh2_dlc14_def_malus_darkblade
champion			wh2_dlc14_skill_node_set_def_master		false	false	wh2_dlc14_def_master
general			wh2_dlc14_skill_node_set_skv_deathmaster_snikch		false	false	wh2_dlc14_skv_deathmaster_snikch
wizard			wh2_dlc14_skill_node_set_skv_eshin_sorcerer		false	false	wh2_dlc14_skv_eshin_sorcerer
general			wh2_dlc14_skill_node_set_skv_master_assassin		false	false	wh2_dlc14_skv_master_assassin
general			wh2_dlc15_skill_node_set_grn_grom_the_paunch		false	false	wh2_dlc15_grn_grom_the_paunch
runesmith			wh2_dlc15_skill_node_set_grn_river_troll_hag		false	false	wh2_dlc15_grn_river_troll_hag
general			wh2_dlc15_skill_node_set_hef_archmage_beasts		false	false	wh2_dlc15_hef_archmage_beasts
general			wh2_dlc15_skill_node_set_hef_archmage_death		false	false	wh2_dlc15_hef_archmage_death
general			wh2_dlc15_skill_node_set_hef_archmage_fire		false	false	wh2_dlc15_hef_archmage_fire
general			wh2_dlc15_skill_node_set_hef_archmage_heavens		false	false	wh2_dlc15_hef_archmage_heavens
general			wh2_dlc15_skill_node_set_hef_archmage_high		false	false	wh2_dlc15_hef_archmage_high
general			wh2_dlc15_skill_node_set_hef_archmage_life		false	false	wh2_dlc15_hef_archmage_life
general			wh2_dlc15_skill_node_set_hef_archmage_light		false	false	wh2_dlc15_hef_archmage_light
general			wh2_dlc15_skill_node_set_hef_archmage_metal		false	false	wh2_dlc15_hef_archmage_metal
general			wh2_dlc15_skill_node_set_hef_archmage_shadows		false	false	wh2_dlc15_hef_archmage_shadows
general			wh2_dlc15_skill_node_set_hef_eltharion		false	false	wh2_dlc15_hef_eltharion
general			wh2_dlc15_skill_node_set_hef_imrik		false	false	wh2_dlc15_hef_imrik
wizard			wh2_dlc15_skill_node_set_hef_mage_beasts		false	false	wh2_dlc15_hef_mage_beasts
wizard			wh2_dlc15_skill_node_set_hef_mage_death		false	false	wh2_dlc15_hef_mage_death
wizard			wh2_dlc15_skill_node_set_hef_mage_fire		false	false	wh2_dlc15_hef_mage_fire
wizard			wh2_dlc15_skill_node_set_hef_mage_metal		false	false	wh2_dlc15_hef_mage_metal
general			wh2_dlc_11_skill_node_set_cst_admiral_tech_01		false	false	wh2_dlc11_cst_admiral_tech_01
general			wh2_dlc_11_skill_node_set_cst_admiral_tech_02		false	false	wh2_dlc11_cst_admiral_tech_02
general			wh2_dlc_11_skill_node_set_cst_admiral_tech_03		false	false	wh2_dlc11_cst_admiral_tech_03
general			wh2_dlc_11_skill_node_set_cst_admiral_tech_04		false	false	wh2_dlc11_cst_admiral_tech_04
champion			wh2_main_skill_node_set_chs_exalted_hero		false	false	chs_exalted_hero
general			wh2_main_skill_node_set_def_black_ark		false	false	wh2_main_def_black_ark
dignitary			wh2_main_skill_node_set_def_death_hag		false	false	wh2_main_def_death_hag
general			wh2_main_skill_node_set_def_dreadlord		false	false	wh2_main_def_dreadlord
general			wh2_main_skill_node_set_def_dreadlord_fem		false	false	wh2_main_def_dreadlord_fem
spy			wh2_main_skill_node_set_def_khainite_assassin		false	false	wh2_main_def_khainite_assassin
general			wh2_main_skill_node_set_def_malekith		false	false	wh2_main_def_malekith
general			wh2_main_skill_node_set_def_morathi		false	false	wh2_main_def_morathi
wizard			wh2_main_skill_node_set_def_sorceress_dark		false	false	wh2_main_def_sorceress_dark
wizard			wh2_main_skill_node_set_def_sorceress_fire		false	false	wh2_main_def_sorceress_fire
wizard			wh2_main_skill_node_set_def_sorceress_shadow		false	false	wh2_main_def_sorceress_shadow
champion			wh2_main_skill_node_set_dwf_thane		false	false	dwf_thane
champion			wh2_main_skill_node_set_emp_captain		false	false	emp_captain
dignitary			wh2_main_skill_node_set_emp_warrior_priest		false	false	emp_warrior_priest
spy			wh2_main_skill_node_set_emp_witch_hunter		false	false	emp_witch_hunter
spy			wh2_main_skill_node_set_grn_goblin_big_boss		false	false	grn_goblin_big_boss
runesmith			wh2_main_skill_node_set_hef_loremaster_of_hoeth		false	false	wh2_main_hef_loremaster_of_hoeth
wizard			wh2_main_skill_node_set_hef_mage_high		false	false	wh2_main_hef_mage_high
wizard			wh2_main_skill_node_set_hef_mage_life		false	false	wh2_main_hef_mage_life
wizard			wh2_main_skill_node_set_hef_mage_light		false	false	wh2_main_hef_mage_light
champion			wh2_main_skill_node_set_hef_noble		false	false	wh2_main_hef_noble
general			wh2_main_skill_node_set_hef_prince		false	false	wh2_main_hef_prince
general			wh2_main_skill_node_set_hef_prince_alastar		false	false	wh2_main_hef_prince_alastar
general			wh2_main_skill_node_set_hef_princess		false	false	wh2_main_hef_princess
spy			wh2_main_skill_node_set_hef_shadow_walker		false	false	wh2_dlc10_hef_shadow_walker
general			wh2_main_skill_node_set_hef_teclis		false	false	wh2_main_hef_teclis
general			wh2_main_skill_node_set_hef_tyrion		false	false	wh2_main_hef_tyrion
champion			wh2_main_skill_node_set_ksl_captain		false	false	ksl_captain
general			wh2_main_skill_node_set_lzd_kroq_gar		false	false	wh2_main_lzd_kroq_gar
general			wh2_main_skill_node_set_lzd_lord_mazdamundi		false	false	wh2_main_lzd_lord_mazdamundi
general			wh2_main_skill_node_set_lzd_saurus_old_blood		false	false	wh2_main_lzd_saurus_old_blood
champion			wh2_main_skill_node_set_lzd_saurus_scar_veteran		false	false	wh2_main_lzd_saurus_scar_veteran
spy			wh2_main_skill_node_set_lzd_skink_chief		false	false	wh2_main_lzd_skink_chief
wizard			wh2_main_skill_node_set_lzd_skink_priest_beasts		false	false	wh2_main_lzd_skink_priest_beasts
wizard			wh2_main_skill_node_set_lzd_skink_priest_heavens		false	false	wh2_main_lzd_skink_priest_heavens
general			wh2_main_skill_node_set_lzd_slann_mage_priest		false	false	wh2_main_lzd_slann_mage_priest
general			wh2_main_skill_node_set_lzd_slann_mage_priest_fire		false	false	wh2_dlc13_lzd_slann_mage_priest_fire
general			wh2_main_skill_node_set_lzd_slann_mage_priest_high		false	false	wh2_dlc13_lzd_slann_mage_priest_high
general			wh2_main_skill_node_set_lzd_slann_mage_priest_life		false	false	wh2_dlc13_lzd_slann_mage_priest_life
spy			wh2_main_skill_node_set_skv_assassin		false	false	wh2_main_skv_assassin
general			wh2_main_skill_node_set_skv_grey_seer_plague		false	false	wh2_main_skv_grey_seer_plague
general			wh2_main_skill_node_set_skv_grey_seer_ruin		false	false	wh2_main_skv_grey_seer_ruin
general			wh2_main_skill_node_set_skv_lord_skrolk		false	false	wh2_main_skv_lord_skrolk
wizard			wh2_main_skill_node_set_skv_plague_priest		false	false	wh2_main_skv_plague_priest
wizard			wh2_main_skill_node_set_skv_plague_priest_ritual		false	false	wh2_main_skv_plague_priest_ritual
general			wh2_main_skill_node_set_skv_queek_headtaker		false	false	wh2_main_skv_queek_headtaker
engineer			wh2_main_skill_node_set_skv_warlock_engineer		false	false	wh2_main_skv_warlock_engineer
engineer			wh2_main_skill_node_set_skv_warlock_engineer_ritual		false	false	wh2_main_skv_warlock_engineer_ritual
general			wh2_main_skill_node_set_skv_warlord		false	false	wh2_main_skv_warlord
champion			wh2_main_skill_node_set_teb_captain		false	false	teb_captain
spy			wh2_main_skill_node_set_vmp_banshee		false	false	vmp_banshee
champion			wh2_main_skill_node_set_vmp_wight_king		false	false	vmp_wight_king
wizard			wh2_pro07_skill_node_set_emp_amethyst_wizard		false	false	wh2_pro07_emp_amethyst_wizard
champion			wh2_pro08_skill_node_neu_felix		false	false	wh2_pro08_neu_felix
general			wh2_pro08_skill_node_neu_gotrek		false	false	wh2_pro08_neu_gotrek
champion			wh2_pro09_skill_node_set_grn_black_orc_big_boss		false	false	wh2_pro09_grn_black_orc_big_boss
general			wh_dlc03_skill_node_set_bst_beastlord		false	false	dlc03_bst_beastlord
wizard			wh_dlc03_skill_node_set_bst_bray_shaman_beast		false	false	dlc03_bst_bray_shaman_beasts
wizard			wh_dlc03_skill_node_set_bst_bray_shaman_death		false	false	dlc03_bst_bray_shaman_death
wizard			wh_dlc03_skill_node_set_bst_bray_shaman_shadows		false	false	dlc03_bst_bray_shaman_shadows
wizard			wh_dlc03_skill_node_set_bst_bray_shaman_wild		false	false	dlc03_bst_bray_shaman_wild
champion			wh_dlc03_skill_node_set_bst_gorebull		false	false	dlc03_bst_gorebull
general			wh_dlc03_skill_node_set_bst_khazrak		false	false	dlc03_bst_khazrak
general			wh_dlc03_skill_node_set_bst_malagor		false	false	dlc03_bst_malagor
general			wh_dlc03_skill_node_set_bst_morghur		false	false	dlc05_bst_morghur
wizard			wh_dlc03_skill_node_set_emp_amber_wizard		false	false	dlc03_emp_amber_wizard
general			wh_dlc03_skill_node_set_emp_boris_todbringer		false	false	dlc03_emp_boris_todbringer
general			wh_dlc04_skill_node_set_emp_arch_lector		false	false	dlc04_emp_arch_lector
general			wh_dlc04_skill_node_set_emp_volkmar		false	false	dlc04_emp_volkmar
general			wh_dlc04_skill_node_set_vmp_helman_ghorst		false	false	dlc04_vmp_helman_ghorst
general			wh_dlc04_skill_node_set_vmp_strigoi_ghoul_king		false	false	dlc04_vmp_strigoi_ghoul_king
general			wh_dlc04_skill_node_set_vmp_vlad_von_carstein		false	false	dlc04_vmp_vlad_con_carstein
wizard			wh_dlc05_skill_node_set_grey_wizard		false	false	dlc05_emp_grey_wizard
wizard			wh_dlc05_skill_node_set_jade_wizard		false	false	dlc05_emp_jade_wizard
general			wh_dlc05_skill_node_set_vmp_red_duke		false	false	wh_dlc05_vmp_red_duke
dignitary			wh_dlc05_skill_node_set_vmp_vampire_shadow		false	false	wh_dlc05_vmp_vampire_shadow
general			wh_dlc05_skill_node_set_wef_ancient_treeman		false	false	dlc05_wef_ancient_treeman
champion			wh_dlc05_skill_node_set_wef_branchwraith		false	false	wh_dlc05_wef_branchwraith
general			wh_dlc05_skill_node_set_wef_durthu		false	false	dlc05_wef_durthu
general			wh_dlc05_skill_node_set_wef_glade_lord		false	false	dlc05_wef_glade_lord
general			wh_dlc05_skill_node_set_wef_glade_lord_fem		false	false	dlc05_wef_glade_lord_fem
general			wh_dlc05_skill_node_set_wef_orion		false	false	dlc05_wef_orion
wizard			wh_dlc05_skill_node_set_wef_spellsinger_beasts		false	false	dlc05_wef_spellsinger_beasts
wizard			wh_dlc05_skill_node_set_wef_spellsinger_life		false	false	dlc05_wef_spellsinger_life
wizard			wh_dlc05_skill_node_set_wef_spellsinger_shadow		false	false	dlc05_wef_spellsinger_shadow
spy			wh_dlc05_skill_node_set_wef_waystalker		false	false	dlc05_wef_waystalker
general			wh_dlc06_skill_node_set_dwf_belegar		false	false	dlc06_dwf_belegar
engineer			wh_dlc06_skill_node_set_dwf_master_engineer_ghost		false	false	dlc06_dwf_master_engineer_ghost
general			wh_dlc06_skill_node_set_dwf_runelord		false	false	dlc06_dwf_runelord
runesmith			wh_dlc06_skill_node_set_dwf_runesmith_ghost		false	false	dlc06_dwf_runesmith_ghost
champion			wh_dlc06_skill_node_set_dwf_thane_ghost_1		false	false	dlc06_dwf_thane_ghost_1
champion			wh_dlc06_skill_node_set_dwf_thane_ghost_2		false	false	dlc06_dwf_thane_ghost_2
general			wh_dlc06_skill_node_set_grn_night_goblin_warboss		false	false	dlc06_grn_night_goblin_warboss
general			wh_dlc06_skill_node_set_grn_skarsnik		false	false	dlc06_grn_skarsnik
general			wh_dlc06_skill_node_set_grn_wurrzag_da_great_prophet		false	false	dlc06_grn_wurrzag_da_great_prophet
general			wh_dlc07_skill_node_set_brt_alberic		false	false	dlc07_brt_alberic
wizard			wh_dlc07_skill_node_set_brt_damsel_beasts		false	false	brt_damsel_beasts
wizard			wh_dlc07_skill_node_set_brt_damsel_life		false	false	brt_damsel_life
general			wh_dlc07_skill_node_set_brt_fay_enchantress		false	false	dlc07_brt_fay_enchantress
champion			wh_dlc07_skill_node_set_brt_green_knight		false	false	dlc07_brt_green_knight
champion			wh_dlc07_skill_node_set_brt_paladin		false	false	brt_paladin
general			wh_dlc07_skill_node_set_brt_prophetess_beast		false	false	dlc07_brt_prophetess_beasts
general			wh_dlc07_skill_node_set_brt_prophetess_heavens		false	false	dlc07_brt_prophetess_heavens
general			wh_dlc07_skill_node_set_brt_prophetess_life		false	false	dlc07_brt_prophetess_life
general			wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow		false	false	dlc07_chs_sorcerer_lord_shadow
wizard			wh_dlc07_skill_node_set_chs_sorcerer_shadow		false	false	dlc07_chs_chaos_sorcerer_shadow
general			wh_dlc08_skill_node_set_chs_challenger_khorne		false	false	wh_dlc08_chs_challenger_khorne
general			wh_dlc08_skill_node_set_chs_challenger_nurgle		false	false	wh_dlc08_chs_challenger_nurgle
general			wh_dlc08_skill_node_set_chs_challenger_slaanesh		false	false	wh_dlc08_chs_challenger_slaanesh
general			wh_dlc08_skill_node_set_chs_challenger_tzeentch		false	false	wh_dlc08_chs_challenger_tzeentch
general			wh_dlc08_skill_node_set_nor_arzik		false	false	wh_dlc08_nor_arzik
dignitary			wh_dlc08_skill_node_set_nor_fimir_balefiend_fire		false	false	wh_dlc08_nor_fimir_balefiend_fire
dignitary			wh_dlc08_skill_node_set_nor_fimir_balefiend_shadow		false	false	wh_dlc08_nor_fimir_balefiend_shadow
wizard			wh_dlc08_skill_node_set_nor_kihar		false	false	dlc08_nor_kihar
general			wh_dlc08_skill_node_set_nor_marauder_chieftan	wh_main_sc_nor_norsca	false	false	nor_marauder_chieftain
wizard			wh_dlc08_skill_node_set_nor_shaman_sorcerer_death		false	false	wh_dlc08_nor_shaman_sorcerer_death
wizard			wh_dlc08_skill_node_set_nor_shaman_sorcerer_fire		false	false	wh_dlc08_nor_shaman_sorcerer_fire
wizard			wh_dlc08_skill_node_set_nor_shaman_sorcerer_metal		false	false	wh_dlc08_nor_shaman_sorcerer_metal
champion			wh_dlc08_skill_node_set_nor_skin_wolf_werekin		false	false	wh_dlc08_nor_skin_wolf_werekin
general			wh_dlc08_skill_node_set_nor_throgg		false	false	wh_dlc08_nor_throgg
general			wh_dlc08_skill_node_set_nor_wulfrik		false	false	wh_dlc08_nor_wulfrik
engineer			wh_main_skill_node_set_all_engineer		false	false	dwf_master_engineer
runesmith			wh_main_skill_node_set_all_runesmith		false	false	dwf_runesmith
wizard			wh_main_skill_node_set_brt_damsel		false	false	brt_damsel
general			wh_main_skill_node_set_brt_lord		false	false	brt_lord
general			wh_main_skill_node_set_brt_louen		false	false	brt_louen_leoncouer
general			wh_main_skill_node_set_chs_archaon		false	false	chs_archaon
wizard			wh_main_skill_node_set_chs_chaos_sorcerer_death		false	false	chs_chaos_sorcerer_death
wizard			wh_main_skill_node_set_chs_chaos_sorcerer_fire		false	false	chs_chaos_sorcerer_fire
wizard			wh_main_skill_node_set_chs_chaos_sorcerer_metal		false	false	chs_chaos_sorcerer_metal
general			wh_main_skill_node_set_chs_kholek		false	false	chs_kholek_suneater
general			wh_main_skill_node_set_chs_lord		false	false	chs_lord
general			wh_main_skill_node_set_chs_lord_of_change		false	false	chs_lord_of_change
general			wh_main_skill_node_set_chs_sigvald		false	false	chs_prince_sigvald
general			wh_main_skill_node_set_chs_sorcerer_lord_death		false	false	chs_sorcerer_lord_death
general			wh_main_skill_node_set_chs_sorcerer_lord_fire		false	false	chs_sorcerer_lord_fire
general			wh_main_skill_node_set_chs_sorcerer_lord_metal		false	false	chs_sorcerer_lord_metal
general			wh_main_skill_node_set_dwf_lord		false	false	dwf_lord
general			wh_main_skill_node_set_dwf_thorgrim		false	false	dwf_thorgrim_grudgebearer
general			wh_main_skill_node_set_dwf_ungrim		false	false	dwf_ungrim_ironfist
general			wh_main_skill_node_set_emp_balthasar		false	false	emp_balthasar_gelt
wizard			wh_main_skill_node_set_emp_bright_wizard		false	false	emp_bright_wizard
wizard			wh_main_skill_node_set_emp_celestial_wizard		false	false	emp_celestial_wizard
general			wh_main_skill_node_set_emp_general		false	false	emp_lord
general			wh_main_skill_node_set_emp_karl_franz		false	false	emp_karl_franz
wizard			wh_main_skill_node_set_emp_light_wizard		false	false	emp_light_wizard
general			wh_main_skill_node_set_grn_azhag		false	false	grn_azhag_the_slaughterer
general			wh_main_skill_node_set_grn_goblin_great_shaman		false	false	grn_goblin_great_shaman
general			wh_main_skill_node_set_grn_grimgor		false	false	grn_grimgor_ironhide
wizard			wh_main_skill_node_set_grn_night_goblin_shaman		false	false	grn_night_goblin_shaman
wizard			wh_main_skill_node_set_grn_orc_shaman		false	false	grn_orc_shaman
general			wh_main_skill_node_set_grn_orc_warboss		false	false	grn_orc_warboss
wizard			wh_main_skill_node_set_ksl_celestial_wizard		false	false	ksl_celestial_wizard
general			wh_main_skill_node_set_ksl_general		false	false	ksl_lord
wizard			wh_main_skill_node_set_nor_chaos_sorcerer_metal		false	false	nor_chaos_sorcerer_metal
general			wh_main_skill_node_set_nor_lord		false	false	nor_marauder_chieftain
general			wh_main_skill_node_set_nor_sorcerer_lord_metal		false	false	nor_sorcerer_lord_metal
general			wh_main_skill_node_set_oglok		false	false	wh2_dlc15_grn_orc_warboss_oglok
general			wh_main_skill_node_set_raknik		false	false	wh2_dlc15_grn_goblin_great_shaman_raknik
wizard			wh_main_skill_node_set_teb_bright_wizard		false	false	teb_bright_wizard
general			wh_main_skill_node_set_teb_general		false	false	teb_lord
general			wh_main_skill_node_set_vmp_heinrich		false	false	vmp_heinrich_kemmler
general			wh_main_skill_node_set_vmp_lord		false	false	vmp_lord
general			wh_main_skill_node_set_vmp_mannfred		false	false	vmp_mannfred_von_carstein
general			wh_main_skill_node_set_vmp_master_necromancer		false	false	vmp_master_necromancer
wizard			wh_main_skill_node_set_vmp_necromancer		false	false	vmp_necromancer
dignitary			wh_main_skill_node_set_vmp_vampire		false	false	vmp_vampire
general			wh_pro01_skill_node_set_dwf_grombrindal		false	false	pro01_dwf_grombrindal
general			wh_pro02_skill_node_set_vmp_isabella_von_carstein		false	false	pro02_vmp_isabella_von_carstein
