effect_bonus_value_unit_ability_junctions_tables	0
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_raise_dead_disabled	disable	wh_main_spell_vampires_raise_dead
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_okkams_mindrazor_enabled	enable	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_okkams_mindrazor_disabled	disable	wh_dlc05_spell_shadow_okkams_mindrazor
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_wind_of_death_enabled	enable	wh_main_spell_vampires_wind_of_death
wh2_dlc11_skill_vmp_bloodline_lahmian_magic_wind_of_death_disabled	disable	wh_main_spell_vampires_wind_of_death
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_curse_of_undeath_enabled	enable	wh_main_lore_passive_the_curse_of_undeath
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_curse_of_undeath_disabled	disable	wh_main_lore_passive_the_curse_of_undeath
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_invocation_of_nehek_enabled	enable	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_invocation_of_nehek_disabled	disable	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_spirit_leech_enabled	enable	wh_main_spell_death_spirit_leech
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_spirit_leech_disabled	disable	wh_main_spell_death_spirit_leech
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_panns_pelt_enabled	enable	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_panns_pelt_disabled	disable	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_raise_dead_enabled	enable	wh_main_spell_vampires_raise_dead
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_raise_dead_disabled	disable	wh_main_spell_vampires_raise_dead
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_curse_of_anraheir_enabled	enable	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_curse_of_anraheir_disabled	disable	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_purple_sun_enabled	enable	wh_main_spell_death_the_purple_sun_of_xereus
wh2_dlc11_skill_vmp_bloodline_necrarch_magic_purple_sun_disabled	disable	wh_main_spell_death_the_purple_sun_of_xereus
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_curse_of_undeath_enabled	enable	wh_main_lore_passive_the_curse_of_undeath
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_curse_of_undeath_disabled	disable	wh_main_lore_passive_the_curse_of_undeath
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_invocation_of_nehek_enabled	enable	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_invocation_of_nehek_disabled	disable	wh_main_spell_vampires_invocation_of_nehek
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_vanhels_danse_macabre_enabled	enable	wh_main_spell_vampires_vanhels_danse_macabre
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_vanhels_danse_macabre_disabled	disable	wh_main_spell_vampires_vanhels_danse_macabre
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_flock_of_doom_enabled	enable	wh_dlc03_spell_beasts_flock_of_doom
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_flock_of_doom_disabled	disable	wh_dlc03_spell_beasts_flock_of_doom
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_raise_dead_enabled	enable	wh_main_spell_vampires_raise_dead
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_raise_dead_disabled	disable	wh_main_spell_vampires_raise_dead
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_transformation_of_kadon_enabled	enable	wh2_dlc11_spell_beasts_transformation_of_kadon
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_transformation_of_kadon_disabled	disable	wh2_dlc11_spell_beasts_transformation_of_kadon
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_wind_of_death_enabled	enable	wh_main_spell_vampires_wind_of_death
wh2_dlc11_skill_vmp_bloodline_von_carstein_magic_wind_of_death_disabled	disable	wh_main_spell_vampires_wind_of_death
wh2_dlc14_skill_all_magic_stealth_02_toxic_rain_lore_attribute_enabled	enable	wh2_dlc14_lore_passive_toxic_rain
wh2_dlc14_skill_all_magic_stealth_02_toxic_rain_lore_attribute_disabled	disable	wh2_dlc14_lore_passive_toxic_rain
wh2_dlc14_skill_all_magic_stealth_01_warp_stars_enabled	enable	wh2_dlc14_spell_stealth_warp_stars
wh2_dlc14_skill_all_magic_stealth_01_warp_stars_disabled	disable	wh2_dlc14_spell_stealth_warp_stars
wh2_dlc14_skill_all_magic_stealth_03_skitterleap_enabled	enable	wh2_main_spell_ruin_skitterleap
wh2_dlc14_skill_all_magic_stealth_03_skitterleap_disabled	disable	wh2_main_spell_ruin_skitterleap
wh2_dlc14_skill_all_magic_stealth_04_armour_of_darkness_enabled	enable	wh2_dlc14_spell_stealth_armour_of_darkness
wh2_dlc14_skill_all_magic_stealth_04_armour_of_darkness_disabled	disable	wh2_dlc14_spell_stealth_armour_of_darkness
wh2_dlc14_skill_all_magic_stealth_05_veil_of_shadows_enabled	enable	wh2_dlc14_spell_stealth_veil_of_shadows
wh2_dlc14_skill_all_magic_stealth_05_veil_of_shadows_disabled	disable	wh2_dlc14_spell_stealth_veil_of_shadows
wh2_dlc14_skill_all_magic_stealth_06_brittle_bone_enabled	enable	wh2_dlc14_spell_stealth_brittle_bone
wh2_dlc14_skill_all_magic_stealth_06_brittle_bone_disabled	disable	wh2_dlc14_spell_stealth_brittle_bone
wh2_dlc14_skill_all_magic_stealth_07_black_whirlwind_enabled	enable	wh2_dlc14_spell_stealth_black_whirlwind
wh2_dlc14_skill_all_magic_stealth_07_black_whirlwind_disabled	disable	wh2_dlc14_spell_stealth_black_whirlwind
wh2_main_skill_magic_dark_lore_attribute_enabled	enable	wh2_main_lore_passive_spiteful_conjuration
wh2_main_skill_magic_dark_lore_attribute_disabled	disable	wh2_main_lore_passive_spiteful_conjuration
wh2_main_skill_magic_dark_chillwind_enabled	enable	wh2_main_spell_dark_magic_chillwind
wh2_main_skill_magic_dark_chillwind_disabled	disable	wh2_main_spell_dark_magic_chillwind
wh2_main_skill_magic_dark_power_of_darkness_enabled	enable	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_skill_magic_dark_power_of_darkness_disabled	disable	wh2_main_spell_dark_magic_power_of_darkness
wh2_main_skill_magic_dark_word_of_pain_enabled	enable	wh2_main_spell_dark_magic_word_of_pain
wh2_main_skill_magic_dark_word_of_pain_disabled	disable	wh2_main_spell_dark_magic_word_of_pain
wh2_main_skill_magic_dark_bladewind_enabled	enable	wh2_main_spell_dark_magic_bladewind
wh2_main_skill_magic_dark_bladewind_disabled	disable	wh2_main_spell_dark_magic_bladewind
wh2_main_skill_magic_dark_doombolt_enabled	enable	wh2_main_spell_dark_magic_doombolt
wh2_main_skill_magic_dark_doombolt_disabled	disable	wh2_main_spell_dark_magic_doombolt
wh2_main_skill_magic_dark_soul_stealer_enabled	enable	wh2_main_spell_dark_magic_soul_stealer
wh2_main_skill_magic_dark_soul_stealer_disabled	disable	wh2_main_spell_dark_magic_soul_stealer
wh2_main_skill_all_magic_plague_03_lore_attribute_enabled	enable	wh2_main_lore_passive_plague_rash
wh2_main_skill_all_magic_plague_03_lore_attribute_disabled	disable	wh2_main_lore_passive_plague_rash
wh2_main_skill_all_magic_plague_01_pestilent_breath_enabled	enable	wh2_main_spell_plague_pestilent_breath
wh2_main_skill_all_magic_plague_01_pestilent_breath_disabled	disable	wh2_main_spell_plague_pestilent_breath
wh2_main_skill_all_magic_plague_02_bless_with_filth_enabled	enable	wh2_main_spell_plague_bless_with_filth
wh2_main_skill_all_magic_plague_02_bless_with_filth_disabled	disable	wh2_main_spell_plague_bless_with_filth
wh2_main_skill_all_magic_plague_04_wither_enabled	enable	wh2_main_spell_plague_wither
wh2_main_skill_all_magic_plague_04_wither_disabled	disable	wh2_main_spell_plague_wither
wh2_main_skill_all_magic_plague_05_vermintide_enabled	enable	wh2_main_spell_plague_vermintide
wh2_main_skill_all_magic_plague_05_vermintide_disabled	disable	wh2_main_spell_plague_vermintide
wh2_main_skill_all_magic_plague_09_plague_enabled	enable	wh2_main_spell_plague_plague
wh2_main_skill_all_magic_plague_09_plague_disabled	disable	wh2_main_spell_plague_plague
wh2_main_skill_all_magic_plague_10_dreaded_thirteenth_enabled	enable	wh2_dlc14_spell_grey_seer_the_dreaded_thirteenth_spell_upgraded
wh2_main_skill_all_magic_plague_10_dreaded_thirteenth_disabled	disable	wh2_dlc14_spell_grey_seer_the_dreaded_thirteenth_spell_upgraded
wh2_main_skill_all_magic_ruin_03_lore_attribute_enabled	enable	wh2_main_lore_passive_musk_of_fear
wh2_main_skill_all_magic_ruin_03_lore_attribute_disabled	disable	wh2_main_lore_passive_musk_of_fear
wh2_main_skill_all_magic_ruin_01_warp_lightning_enabled	enable	wh2_main_spell_ruin_warp_lightning
wh2_main_skill_all_magic_ruin_01_warp_lightning_disabled	disable	wh2_main_spell_ruin_warp_lightning
wh2_main_skill_all_magic_ruin_02_howling_warpgale_warlock_enabled	enable	wh2_main_spell_ruin_howling_warpgale
wh2_main_skill_all_magic_ruin_02_howling_warpgale_warlock_disabled	disable	wh2_main_spell_ruin_howling_warpgale
wh2_main_skill_all_magic_ruin_04_death_frenzy_warlock_enabled	enable	wh2_main_spell_ruin_death_frenzy
wh2_main_skill_all_magic_ruin_04_death_frenzy_warlock_disabled	disable	wh2_main_spell_ruin_death_frenzy
wh2_main_skill_all_magic_ruin_05_skaven_scorch_warlock_enabled	enable	wh2_main_spell_ruin_scorch
wh2_main_skill_all_magic_ruin_05_skaven_scorch_warlock_disabled	disable	wh2_main_spell_ruin_scorch
wh2_main_skill_all_magic_ruin_09_cracks_call_warlock_enabled	enable	wh2_main_spell_ruin_cracks_call
wh2_main_skill_all_magic_ruin_09_cracks_call_warlock_disabled	disable	wh2_main_spell_ruin_cracks_call
wh2_main_skill_all_magic_plague_10_dreaded_thirteenth_enabled	enable	wh2_dlc14_spell_grey_seer_the_dreaded_thirteenth_spell_upgraded
wh2_main_skill_all_magic_plague_10_dreaded_thirteenth_disabled	disable	wh2_dlc14_spell_grey_seer_the_dreaded_thirteenth_spell_upgraded
wh2_main_skill_all_magic_high_03_lore_attribute_enabled	enable	wh2_main_lore_passive_shield_of_saphery
wh2_main_skill_all_magic_high_03_lore_attribute_disabled	disable	wh2_main_lore_passive_shield_of_saphery
wh2_main_skill_all_magic_high_02_apotheosis_enabled	enable	wh2_main_spell_high_magic_apotheosis
wh2_main_skill_all_magic_high_02_apotheosis_disabled	disable	wh2_main_spell_high_magic_apotheosis
wh2_main_skill_all_magic_high_04_hand_of_glory_enabled	enable	wh2_main_spell_high_magic_hand_of_glory
wh2_main_skill_all_magic_high_04_hand_of_glory_disabled	disable	wh2_main_spell_high_magic_hand_of_glory
wh2_main_skill_all_magic_high_01_soul_quench_enabled	enable	wh2_main_spell_high_magic_soul_quench
wh2_main_skill_all_magic_high_01_soul_quench_disabled	disable	wh2_main_spell_high_magic_soul_quench
wh2_main_skill_all_magic_high_05_tempest_enabled	enable	wh2_main_spell_high_magic_tempest
wh2_main_skill_all_magic_high_05_tempest_disabled	disable	wh2_main_spell_high_magic_tempest
wh2_main_skill_all_magic_high_09_arcane_unforging_enabled	enable	wh2_main_spell_high_magic_arcane_unforging
wh2_main_skill_all_magic_high_09_arcane_unforging_disabled	disable	wh2_main_spell_high_magic_arcane_unforging
wh2_main_skill_all_magic_high_10_fiery_convocation_enabled	enable	wh2_main_spell_high_magic_fiery_convocation
wh2_main_skill_all_magic_high_10_fiery_convocation_disabled	disable	wh2_main_spell_high_magic_fiery_convocation
wh_dlc03_skill_magic_beasts_wyssans_wildform_enabled	enable	wh_dlc03_spell_beasts_wyssans_wildform
wh_dlc03_skill_magic_beasts_wyssans_wildform_disabled	disable	wh_dlc03_spell_beasts_wyssans_wildform
wh_main_skill_all_magic_death_01_spirit_leech_enabled	enable	wh_main_spell_death_spirit_leech
wh_main_skill_all_magic_death_01_spirit_leech_disabled	disable	wh_main_spell_death_spirit_leech
wh_main_skill_all_magic_fire_01_fireball_enabled	enable	wh_main_spell_fire_fireball
wh_main_skill_all_magic_fire_01_fireball_disabled	disable	wh_main_spell_fire_fireball
wh_main_skill_all_magic_heavens_01_harmonic_convergence_enabled	enable	wh_main_spell_heavens_harmonic_convergence
wh_main_skill_all_magic_heavens_01_harmonic_convergence_disabled	disable	wh_main_spell_heavens_harmonic_convergence
wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood_enabled	enable	wh_dlc05_spell_life_awakening_of_the_wood
wh_dlc05_skill_magic_life_wizard_awakening_of_the_wood_disabled	disable	wh_dlc05_spell_life_awakening_of_the_wood
wh_main_skill_all_magic_light_01_shems_burning_gaze_enabled	enable	wh_main_spell_light_shems_burning_gaze
wh_main_skill_all_magic_light_01_shems_burning_gaze_disabled	disable	wh_main_spell_light_shems_burning_gaze
wh_main_skill_all_magic_metal_01_searing_doom_enabled	enable	wh_main_spell_metal_searing_doom
wh_main_skill_all_magic_metal_01_searing_doom_disabled	disable	wh_main_spell_metal_searing_doom
wh_dlc05_skill_magic_shadow_mystifying_miasma_enabled	enable	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh_dlc05_skill_magic_shadow_mystifying_miasma_disabled	disable	wh_dlc05_spell_shadow_melkoths_mystifying_miasma
wh2_main_skill_all_magic_plague_03_lore_attribute_enabled	enable	wh2_main_lore_passive_plague_rash
wh2_main_skill_all_magic_plague_03_lore_attribute_disabled	disable	wh2_main_lore_passive_plague_rash
wh2_main_skill_all_magic_plague_01_pestilent_breath_enabled	enable	wh2_main_spell_plague_pestilent_breath
wh2_main_skill_all_magic_plague_01_pestilent_breath_disabled	disable	wh2_main_spell_plague_pestilent_breath
wh2_main_skill_all_magic_plague_02_bless_with_filth_enabled	enable	wh2_main_spell_plague_bless_with_filth
wh2_main_skill_all_magic_plague_02_bless_with_filth_disabled	disable	wh2_main_spell_plague_bless_with_filth
wh2_main_skill_all_magic_plague_04_wither_enabled	enable	wh2_main_spell_plague_wither
wh2_main_skill_all_magic_plague_04_wither_disabled	disable	wh2_main_spell_plague_wither
wh2_main_skill_all_magic_plague_05_vermintide_enabled	enable	wh2_main_spell_plague_vermintide
wh2_main_skill_all_magic_plague_05_vermintide_disabled	disable	wh2_main_spell_plague_vermintide
wh2_main_skill_all_magic_plague_09_plague_enabled	enable	wh2_main_spell_plague_plague
wh2_main_skill_all_magic_plague_09_plague_disabled	disable	wh2_main_spell_plague_plague
wh2_main_skill_all_magic_plague_11_pestilent_birth_enabled	enable	wh2_main_spell_plague_pestilent_birth
wh2_main_skill_all_magic_plague_11_pestilent_birth_disabled	disable	wh2_main_spell_plague_pestilent_birth
wh2_main_skill_all_magic_ruin_03_lore_attribute_enabled	enable	wh2_main_lore_passive_musk_of_fear
wh2_main_skill_all_magic_ruin_03_lore_attribute_disabled	disable	wh2_main_lore_passive_musk_of_fear
wh2_main_skill_all_magic_ruin_01_warp_lightning_enabled	enable	wh2_main_spell_ruin_warp_lightning
wh2_main_skill_all_magic_ruin_01_warp_lightning_disabled	disable	wh2_main_spell_ruin_warp_lightning
wh2_main_skill_all_magic_ruin_02_howling_warpgale_warlock_enabled	enable	wh2_main_spell_ruin_howling_warpgale
wh2_main_skill_all_magic_ruin_02_howling_warpgale_warlock_disabled	disable	wh2_main_spell_ruin_howling_warpgale
wh2_main_skill_all_magic_ruin_04_death_frenzy_warlock_enabled	enable	wh2_main_spell_ruin_death_frenzy
wh2_main_skill_all_magic_ruin_04_death_frenzy_warlock_disabled	disable	wh2_main_spell_ruin_death_frenzy
wh2_main_skill_all_magic_ruin_05_skaven_scorch_warlock_enabled	enable	wh2_main_spell_ruin_scorch
wh2_main_skill_all_magic_ruin_05_skaven_scorch_warlock_disabled	disable	wh2_main_spell_ruin_scorch
wh2_main_skill_all_magic_ruin_09_cracks_call_warlock_enabled	enable	wh2_main_spell_ruin_cracks_call
wh2_main_skill_all_magic_ruin_09_cracks_call_warlock_disabled	disable	wh2_main_spell_ruin_cracks_call
wh2_main_skill_all_magic_ruin_10_skitterleap_warlock_enabled	enable	wh2_main_spell_ruin_skitterleap
wh2_main_skill_all_magic_ruin_10_skitterleap_warlock_disabled	disable	wh2_main_spell_ruin_skitterleap
wh_dlc03_skill_magic_beasts_wild_heart_enabled	enable	wh_dlc03_lore_passive_wild_heart
wh_dlc03_skill_magic_beasts_wild_heart_disabled	disable	wh_dlc03_lore_passive_wild_heart
wh_dlc03_skill_magic_beasts_wyssans_wildform_enabled	enable	wh_dlc03_spell_beasts_wyssans_wildform
wh_dlc03_skill_magic_beasts_wyssans_wildform_disabled	disable	wh_dlc03_spell_beasts_wyssans_wildform
wh_dlc03_skill_magic_beasts_flock_of_doom_enabled	enable	wh_dlc03_spell_beasts_flock_of_doom
wh_dlc03_skill_magic_beasts_flock_of_doom_disabled	disable	wh_dlc03_spell_beasts_flock_of_doom
wh_dlc03_skill_magic_beasts_panns_impenetrable_pelt_enabled	enable	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh_dlc03_skill_magic_beasts_panns_impenetrable_pelt_disabled	disable	wh_dlc03_spell_beasts_panns_impenetrable_pelt
wh_dlc03_skill_magic_beasts_the_amber_spear_enabled	enable	wh_dlc03_spell_beasts_the_amber_spear
wh_dlc03_skill_magic_beasts_the_amber_spear_disabled	disable	wh_dlc03_spell_beasts_the_amber_spear
wh_dlc03_skill_magic_beasts_the_curse_of_anraheir_enabled	enable	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh_dlc03_skill_magic_beasts_the_curse_of_anraheir_disabled	disable	wh_dlc03_spell_beasts_the_curse_of_anraheir
wh_dlc03_skill_magic_beasts_transformation_of_kadon_enabled	enable	wh2_dlc11_spell_beasts_transformation_of_kadon
wh_dlc03_skill_magic_beasts_transformation_of_kadon_disabled	disable	wh2_dlc11_spell_beasts_transformation_of_kadon
wh_dlc03_skill_magic_wild_bestial_surge_enabled	enable	wh_dlc03_lore_passive_bestial_surge
wh_dlc03_skill_magic_wild_bestial_surge_disabled	disable	wh_dlc03_lore_passive_bestial_surge
wh_dlc03_skill_magic_wild_viletide_enabled	enable	wh_dlc03_spell_wild_viletide
wh_dlc03_skill_magic_wild_viletide_disabled	disable	wh_dlc03_spell_wild_viletide
wh_dlc03_skill_magic_wild_devolve_enabled	enable	wh_dlc03_spell_wild_devolve
wh_dlc03_skill_magic_wild_devolve_disabled	disable	wh_dlc03_spell_wild_devolve
wh_dlc03_skill_magic_wild_bray_scream_enabled	enable	wh_dlc03_spell_wild_bray_scream
wh_dlc03_skill_magic_wild_bray_scream_disabled	disable	wh_dlc03_spell_wild_bray_scream
wh_dlc03_skill_magic_wild_traitor_kin_enabled	enable	wh_dlc03_spell_wild_traitor_kin
wh_dlc03_skill_magic_wild_traitor_kin_disabled	disable	wh_dlc03_spell_wild_traitor_kin
wh_dlc03_skill_magic_wild_mantle_of_ghorok_enabled	enable	wh_dlc03_spell_wild_mantle_of_ghorok
wh_dlc03_skill_magic_wild_mantle_of_ghorok_disabled	disable	wh_dlc03_spell_wild_mantle_of_ghorok
wh_dlc03_skill_magic_wild_savage_dominion_enabled	enable	wh_dlc03_spell_wild_savage_dominion
wh_dlc03_skill_magic_wild_savage_dominion_disabled	disable	wh_dlc03_spell_wild_savage_dominion
wh_main_skill_vmp_magic_vampires_helman_03_the_curse_of_undeath_enabled	enable	wh_main_lore_passive_the_curse_of_undeath
wh_main_skill_vmp_magic_vampires_helman_03_the_curse_of_undeath_disabled	disable	wh_main_lore_passive_the_curse_of_undeath
wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre_enabled	enable	wh_main_spell_vampires_vanhels_danse_macabre
wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre_disabled	disable	wh_main_spell_vampires_vanhels_danse_macabre
wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek_enabled	enable	wh_main_spell_vampires_invocation_of_nehek
wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek_disabled	disable	wh_main_spell_vampires_invocation_of_nehek
wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash_enabled	enable	wh_main_spell_vampires_gaze_of_nagash
wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash_disabled	disable	wh_main_spell_vampires_gaze_of_nagash
wh_main_skill_vmp_magic_vampires_05_helman_raise_dead_enabled	enable	wh_dlc04_spell_vampires_raise_dead_helman
